ID,Name,Designator,Quantity,Manufacturer,Supplier,Supplier Part,Price,Link,Notes
14,LiPo Battery 3000mAh,BATT_A,1,Hiteuoms,Amazon,B0DP2JKFJG,9.99,https://www.amazon.com/dp/B0DP2JKFJG,Power Source (JST 1.25mm Type)
15,LiPo Battery 2200mAh,BATT_B,1,OXWINOU,Amazon,B0CTQ6VBB6,9.98,https://www.amazon.com/dp/B0CTQ6VBB6,Power Source (JST 2.0mm Type)
16,Cherry MX Blue Switch,SW_MECH,1,Cherry,MechKeyboards,MX2A-Blue,0.40,https://mechanicalkeyboards.com/products/cherry-mx2a-blue-60g-clicky?variant=48020492124460,Main Trigger (Clicky)
17,Illuminated Toggle Switch,SW_MISSILE,1,Adafruit,Adafruit,3306,3.95,https://www.adafruit.com/product/3306,Safety Arming Switch
18,Hall Effect Joystick,JOY1,1,VGBUS,Amazon BR,B0CXDTGXZP,16.46,https://www.amazon.com.br/dp/B0CXDTGXZP,Analog Control (Drift Free)
19,ESP32-S3 ProS3,U_MCU,1,Unexpected Maker,Adafruit,6398,26.50,https://www.adafruit.com/product/6398,Main Controller
20,1.5inch RGB OLED,DISP1,1,Waveshare,Waveshare,1.5inch RGB OLED,16.99,https://www.waveshare.com/1.5inch-rgb-oled-module.htm,Visual Interface
21,Mechanical Encoder (Alps),ENC_MECH,1,Alps Alpine,Mouser,688-EC11E15244B2,4.85,https://br.mouser.com/ProductDetail/Alps-Alpine/EC11E15244B2?qs=m0BA540hBPfDpUEkDmFV5A%3D%3D,"15PPR, 3.3V Logic Compatible"
22,Optical Encoder (Bourns),ENC_OPT,1,Bourns,Mouser,652-ENA1J-B28-L064L,46.03,https://br.mouser.com/ProductDetail/Bourns/ENA1J-B28-L00064L?qs=CrTVAl0CcnKhSZ6oFfhmHw%3D%3D,"64PPR, High-Precision, 5V Supply"
23,Silicone Wire Kit 24AWG,WIRE_KIT,1,BNTECHGO,Amazon,B09X4HVFJX,9.98,https://www.amazon.com/dp/B09X4HVFJX,10 Color Each 5 ft Flexible 24 AWG Stranded Tinned Copper Wire
