ID,Name,Designator,Quantity,Manufacturer,Supplier,Supplier Part,Price,Link,Notes
1,Capacitor 10uF 0805,C1,20,Samsung Electro-Mechanics,LCSC,C1713,0.0116,https://www.lcsc.com/product-detail/C1713.html,Decoupling Cap (Cut Tape Min 20)
2,Resistor 220Ω,R1/R3/R7,3,Tyohm,LCSC,C410657,0.0097,https://jlcpcb.com/partdetail/TyoHM-RN_1_4W_220R_F_T_BA1/C410657,Current Limiting
3,Resistor 330Ω,R5,1,YAGEO,LCSC,C105881,0.0014,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0603FR-07330RL_C105881.html,LED Resistor
4,Resistor 2kΩ,R4,1,UNI-ROYAL,LCSC,C58680,0.0084,https://www.lcsc.com/product-detail/C58680.html,Pull-up (OUT OF STOCK)
5,Screw Terminal 6-Pin 2.54mm,U1-U4,4,KEFA,LCSC,C474924,0.6375,https://lcsc.com/product-detail/Pluggable-System-Terminal-Block_KEFA-KF128-2-54-6P_C474924.html,Quantities adjusted for LCSC MOQ (Blueprint Verified)
6,Conn JST PH 2.0mm 2-Pin,JST_2,50,JST,LCSC,C18185603,0.012,https://www.lcsc.com/product-detail/C131337.html,Quantities adjusted for LCSC MOQ (Blueprint Verified)
7,Conn PH 2.0mm 8-Pin,U5,10,Megastar,LCSC,C2908629,0.0454,https://www.lcsc.com/product-detail/C7429584.html,Quantities adjusted for LCSC MOQ (Blueprint Verified)
8,Passive Buzzer (MOQ 5),BUZ,5,Generic,LCSC,C96256,0.1161,https://www.lcsc.com/product-detail/C96256.html,Quantities adjusted for LCSC MOQ (Blueprint Verified)
9,Capacitor 100nF 0603,C2/C3,2,AIDE,LCSC,C49326605,0.0017,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_AIDE-0603X7R104K100NT_C49326605.html,Filter Cap (OUT OF STOCK)
10,Capacitor 100uF Radial (MOQ 5),C4,5,HONOR,LCSC,C48970442,0.1275,https://lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-Leaded_HONOR-RYHG35V100UF6-8_C48970442.html,Quantities adjusted for LCSC MOQ (Blueprint Verified)
11,LED RGB 5mm (Pack of 10),LED_RGB,10,XINGLIGHT,LCSC,C7371892,0.0566,https://www.lcsc.com/product-detail/C7371892.html,Quantities adjusted for LCSC MOQ (Blueprint Verified)
12,Decoder IC LS7183N-S,U_DEC,1,LSI/CSI,LCSC,C3234982,7.0064,https://lcsc.com/product-detail/Encoders_LSI-CSI-LS7183N-S_C3234982.html,Quadrature Decoder
13,SPDT Slide Switch,SW1,1,SHOU HAN,LCSC,C49023767,0.0780,https://lcsc.com/product-detail/Slide-Switches_SHOU-HAN-MST-12D18G4-SPDT-SLIDE-SWITCH_C49023767.html,Power Switch
99,LCSC Shipping Fee,SHIP,1,LCSC,LCSC,N/A,9.12,N/A,Global Direct Standard Line
100,LCSC Handling Fee,FEE,1,LCSC,LCSC,N/A,3.00,N/A,LCSC Service Charge
101,LCSC Discount,DISC,1,LCSC,LCSC,N/A,-0.16,N/A,Merchandise Discount
