ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,JLCPCB Part Class,Value,link
"1","C0805","C1","C0805","1","CL21A106KQFNNNE","Samsung Electro-Mechanics","LCSC","C96445","","2","C0805_L2.0-W1.3-H1.3","lcsc","Extended Part","10uF","https://lcsc.com/eda_search?q=C96445&%26type=1&ref=editor"
"2","220Ω","R1,R3,R7","RES-TH_BD2.4-L6.3-P10.30-D0.6","3","RN 1/4W 220R F T/B A1","Tyohm(幸亚电阻)","LCSC","C410657","0.01","2","RES-TH_BD2.4-L6.3-P10.30-D0.6","LCSC","Extended Part","","https://item.szlcsc.com/184395.html"
"3","R0603","R5","R0603","1","RC0603FR-07330RL","YAGEO(国巨)","LCSC","C105881","0.002","2","R0603","lcsc","Extended Part","330Ω","https://lcsc.com/eda_search?q=C105881&%26type=1&ref=editor"
"4","CONN-TH_6P-P2.54_KF128-2.54-6P","U1,U2,U3,U4","CONN-TH_6P-P2.54_KF128-2.54-6P","4","KF128-2.54-6P","KEFA(科发)","LCSC","C474924","0.637","6","CONN-TH_6P-P2.54_KF128-2.54-6P","LCSC","Extended Part","","https://lcsc.com/eda_search?q=C474924&%26type=1&ref=editor"
"5","2.0-2P ZZDK","JST_2","HDR-TH_2P-P2.00-V-F-2","1","2.0-2P ZZDK","SHOU HAN(首韩)","LCSC","C18185603","0.014","2","HDR-TH_2P-P2.00-V-F-2","lcsc","","","https://atta.szlcsc.com/upload/public/pdf/source/20230919/8A3E289309C17865DC1E22446FC4FF59.pdf"
"6","CONN-TH_8P-P2.00_HCTL_PH-8A_C2908629","U4","CONN-TH_8P-P2.00_HCTL_PH-8A_C2908629","1","PH-8A","HCTL(华灿天禄)","LCSC","C2908629","0.044","8","CONN-TH_8P-P2.00_HCTL_PH-8A_C2908629","立创EDA官方封装库","Extended Part","","https://lcsc.com/eda_search?q=C2908629&%26type=1&ref=editor"
"7","PASSIVE BUZZER","BUZ","PASSIVE BUZZER","1","chenzj1:Buzzer_12x9.5RM6.5","null","LCSC","C9900008742","","2","BUZ-TH_BD12.0-P6.50-D0.6_SEA-1285F","burakozer26.07","Extended Part","","https://atta.szlcsc.com/upload/public/pdf/source/20211008/4CBF24C00656D781101954279FAE3DDF.pdf"
"8","100nF","C2,C3","C0603","2","0603X7R104K100NT","AIDE(爱迪电容)","LCSC","C49326605","0.002","2","C0603_L1.6-W0.8-H0.8","lcsc","Extended Part","","https://item.szlcsc.com/362304.html"
"9","100uF","C4","CAP-TH_BD6.3-P2.5-D0.6-FD-RYHG35V100UF","1","RYHG35V100UF6*8","HONOR(荣誉)","LCSC","C48970442","0.128","2","CAP-TH_BD6.3-P2.5-D0.6-FD-RYHG35V100UF","lcsc","Extended Part","","https://atta.szlcsc.com/upload/public/pdf/source/20250217/4A6DB7E98F496F143A23D2F95957B15F.pdf"
"10","LED-RGB 共阴 插件 直径5MM","LED_RGB","LED-TH_4P-BD5.8-P1.30","1","LED-RGB 共阴 插件 直径5mm","null","LCSC","C9900015469","","4","LED-TH_4P-BD5.8-P1.30-RGB","lcsc","Extended Part","","https://item.szlcsc.com/310427.html"
"11","LS7183N-S","LS7183N-S","SOIC-8_L4.9-W3.9-P1.27-LS6.0-TL","1","LS7183N-S","LSI/CSI","LCSC","C3234982","6.323","8","SOIC-8_L4.9-W3.9-H1.7-LS6.0-P1.27","lcsc","Extended Part","","https://atta.szlcsc.com/upload/public/pdf/source/20150124/1457707262374.pdf"
"12","2kΩ","R4","RESISTOR-VERTICAL 1/4W 2.5MM","1","MFR0W8F2001A50","UNI-ROYAL(厚声)","LCSC","C58680","0.008","2","","kradify","Extended Part","",""
"13","ESP32 ProS3[D]","S3","PROS3-SMD","1","ProS3","UnexpectedMaker","","","","34","","ruttermf","","","https://www.adafruit.com/product/6398"
"14","MST-12D18G4 SPDT SLIDE SWITCH","SW1","SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH","1","MST-12D18G4 SPDT Slide Switch","SHOU HAN(首韩)","LCSC","C49023767","0.082","3","SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH","lcsc","Extended Part","","https://atta.szlcsc.com/upload/public/pdf/source/20250603/877AC4312E14CF7A6AB4E018B34890B6.pdf"
"15","Lithium Polymer Battery 3.7V 2200mAh 103450","BATT","JST PH 2.0mm","1","103450","OXWINOU","Amazon","B0CTQ6VBB6","","2","","EngThi","","2200mAh","https://www.amazon.com/dp/B0CTQ6VBB6"
